1.0	830
10.0	452967
111.0	1
12.0	585617
14.0	680027
16.0	776109
18.0	722654
21.0	768924
23.0	724603
25.0	724929
27.0	976937
29.0	981770
3.0	25191
30.0	1232
32.0	57
34.0	21
36.0	20
38.0	16
41.0	16
43.0	8
45.0	9
47.0	4
49.0	6
5.0	104715
50.0	10
52.0	5
54.0	4
56.0	2
58.0	2
61.0	2
65.0	1
67.0	1
69.0	1
7.0	255837
70.0	1
72.0	1
76.0	1
9.0	386283
0.0	507
109.0	1
11.0	555028
110.0	2
13.0	630127
15.0	706536
17.0	742820
19.0	730941
2.0	7260
20.0	797301
22.0	704399
24.0	693565
26.0	768027
28.0	3386270
31.0	73
33.0	57
35.0	17
37.0	31
39.0	38
4.0	68745
40.0	17
42.0	56
44.0	4
46.0	8
48.0	2
51.0	5
53.0	5
55.0	2
57.0	1
59.0	3
6.0	173487
62.0	2
68.0	1
8.0	331518
86.0	1
97.0	1
